"it" "im" "dep" "meth" "out"
"271" 3 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"272" 3 6 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"273" 3 6 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"274" 3 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"275" 3 6 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"276" 3 6 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"277" 3 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"278" 3 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"279" 3 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"280" 3 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"281" 3 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"282" 3 7 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"283" 3 7 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"284" 3 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"285" 3 7 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"286" 3 7 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"287" 3 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"288" 3 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"289" 3 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"290" 3 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"291" 3 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"292" 3 8 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"293" 3 8 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"294" 3 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"295" 3 8 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"296" 3 8 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"297" 3 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"298" 3 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"299" 3 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"300" 3 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"301" 3 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"302" 3 9 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"303" 3 9 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"304" 3 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"305" 3 9 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"306" 3 9 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"307" 3 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"308" 3 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"309" 3 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"310" 3 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"311" 3 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"312" 3 10 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"313" 3 10 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"314" 3 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"315" 3 10 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"316" 3 10 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"317" 3 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"318" 3 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"319" 3 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"320" 3 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"321" 3 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"322" 3 11 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"323" 3 11 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"324" 3 11 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"325" 3 11 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"326" 3 11 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"327" 3 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"328" 3 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"329" 3 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"330" 3 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
