"it" "im" "dep" "meth" "out"
"255" 3 4 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"256" 3 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"257" 3 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"258" 3 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"259" 3 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"260" 3 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"261" 3 5 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"262" 3 5 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"263" 3 5 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"264" 3 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"265" 3 5 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"266" 3 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"267" 3 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"268" 3 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"269" 3 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"270" 3 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"271" 3 6 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"272" 3 6 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"273" 3 6 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"274" 3 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"275" 3 6 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"276" 3 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"277" 3 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"278" 3 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"279" 3 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"280" 3 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"281" 3 7 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"282" 3 7 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"283" 3 7 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"284" 3 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"285" 3 7 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"286" 3 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"287" 3 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"288" 3 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"289" 3 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"290" 3 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"291" 3 8 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"292" 3 8 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"293" 3 8 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"294" 3 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"295" 3 8 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"296" 3 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"297" 3 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"298" 3 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"299" 3 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"300" 3 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"301" 3 9 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"302" 3 9 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"303" 3 9 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"304" 3 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"305" 3 9 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"306" 3 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"307" 3 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"308" 3 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"309" 3 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"310" 3 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"311" 3 10 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"312" 3 10 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"313" 3 10 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"314" 3 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"315" 3 10 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"316" 3 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"317" 3 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
